"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001297078","여행의 이유 :김영하 산문","김영하 지음","문학동네","2019","9788954655972","8","22"
"000001509082","홍학의 자리 :정해연 장편소설","정해연 지음","엘릭시르 : 문학동네","2021","9788954681155","8","20"
"000001481845","미드나잇 라이브러리","매트 헤이그 지음","인플루엔셜","2021","9791191056556","8","19"
"000001485420","불편한 편의점 :김호연 장편소설","김호연 지음","나무옆의자","2021","9791161571188","8","17"
"000000541851","소년이 온다 :한강 장편소설","한강 지음","창비","2014","9788936434120","8","17"
"000001058983","파친코 :이민진 장편소설 .1","이민진 지음","문학사상","2018","9788970129815","8","17"
"000001508624","지구 끝의 온실 :김초엽 장편소설","김초엽 지음","Giant Books(자이언트북스)","2021","9791191824001","8","16"
"000001543223","도파민네이션 :쾌락 과잉 시대에서 균형 찾기","애나 렘키 지음","흐름출판","2022","9788965965046","5","15"
"000001103910","파친코 :이민진 장편소설 .2","이민진 지음","문학사상","2018","9788970129822","8","15"
"000001526996","H마트에서 울다","미셸 자우너 지음","문학동네","2022","9788954683371","8","14"
"000000722900","구의 증명 :최진영 소설","최진영 지음","은행나무","2015","9788956608556","8","14"
"000000270510","나미야 잡화점의 기적 :히가시노 게이고 장편소설","히가시노 게이고 지음","현대문학","2012","9788972756194","8","14"
"000001550988","내가 틀릴 수도 있습니다 :숲속의 현자가 전하는 마지막 인생수업","비욘 나티코 린데블라드 지음","다산초당 : 다산북스","2022","9791130689890","2","14"
"000001626901","풍수전쟁 :김진명 장편소설","김진명 지음","이타: 이타북스","2023","9791167763846","8","14"
"000001398447","달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 : 이미예 장편소설","이미예 지음","팩토리나인","2020","9791165341909","8","13"
"000001393860","('게으른 나'를 인정했더니) 방이 더 깨끗해졌어요! :게으름뱅이의 작심삼일 퇴치하기","와타나베 폰 지음","이아소","2020","9791187113423","5","12"
"000001508416","달러구트 꿈 백화점 :이미예 장편소설 .2 ,단골손님을 찾습니다","이미예 지음","팩토리나인","2021","9791165343729","8","12"
"000001508031","밝은 밤 :최은영 장편소설","최은영 지음","문학동네","2021","9788954681179","8","12"
"000001555910","역행자 :돈?시간?운명으로부터 완전한 자유를 얻는 7단계 인생 공략집","자청 지음","웅진지식하우스 : 웅진씽크빅","2022","9788901260716","3","12"
"000001311391","이기적 유전자","리처드 도킨스 지음","을유문화사","2018","9788932473901","4","12"
"000001509345","작별하지 않는다 :한강 장편소설","한강 지음","문학동네","2021","9788954682152","8","12"
"000001481864","프로젝트 헤일메리","앤디 위어 지음","RHK(알에이치코리아)","2021","9788925588735","8","12"
"000001620118","각각의 계절 :권여선 소설","권여선 지음","문학동네","2023","9788954692526","8","11"
"000001375706","공간이 만든 공간 :새로운 생각은 어떻게 만들어지는가","유현준 지음","을유문화사","2020","9788932474274","5","11"
"000000709744","나는 부동산과 맞벌이한다 :배우자 대신 꼬박꼬박 월급을 가져오는 시스템 만들기","너바나 지음","시공사: 알키","2015","9788952773487","3","11"
"000001516142","모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학","손웅정 지음","수오서재","2021","9791190382502","6","11"
"000001627738","문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?","유시민 지음","돌베개","2023","9791192836188","0","11"
